Site,Date,Na_ion,K_ion,Mg_ion,Ca_ion,SO4_ion,NH4_ion,NO3_ion,Cl_ion,OC,EC,PM2.5_Mass_Concentration,Al,Fe,Na,Mg,K,Ca,Sr,Ba,Ti,Mn,Co,Ni,Cu,Zn,Mo,Cd,Sn,Sb,Tl,Pb,V,Cr,As,Y,Se,Zr,Ge,Rb,Cs,Ga,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,U
花蓮,13-Jul-18,0.23,0.04,0.01,0.06,0.57,0.24,0.18,0.21,1.07,0.08,3,0.001364,0.008620,0.234801,0.007514,0.023398,0.009145,0.000120,0.000078,0.000186,0.000149,0.000060,0.000904,0.000583,0.001414,0.000017,0.000018,0.000220,0.000641,0.000004,0.000477,0.001036,0.000821,0.000143,0.000001,0.000049,0.000078,0.000005,0.000048,0.000001,0.000003,0.000017,0.000013,0.000000,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000018,0.000000
小港,13-Jul-18,0.13,0.03,0.01,0.05,2.68,0.90,0.47,0.24,3.49,0.93,13,0.004592,0.204579,0.197301,0.028534,0.047631,0.091059,0.000581,0.001684,0.005040,0.021086,0.000148,0.004740,0.003616,0.091513,0.001447,0.000410,0.002460,0.000527,0.000048,0.013058,0.010560,0.011177,0.000422,0.000011,0.001029,0.000263,0.000150,0.000202,0.000022,0.000121,0.000115,0.000049,0.000003,0.000018,0.000002,0.000001,0.000004,0.000000,0.000003,0.000001,0.000001,0.000000,0.000001,0.000000,0.000059,0.000001
嘉義,13-Jul-18,0.07,0.03,0.01,0.03,4.97,2.27,1.42,0.22,3.80,0.74,18,0.069166,0.053550,0.142046,0.001232,0.094960,0.009182,0.000287,0.006424,0.000187,0.003850,0.000100,0.002957,0.001811,0.010002,0.001023,0.000067,0.002258,0.000739,0.000018,0.007428,0.007457,0.000824,0.000506,0.000008,0.000231,0.000078,0.000049,0.000219,0.000018,0.000222,0.000028,0.000024,0.000001,0.000008,0.000002,0.000001,0.000002,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000018,0.000001
斗六,13-Jul-18,0.08,0.06,0.01,0.04,5.11,2.19,1.68,0.23,4.38,0.71,18,0.009555,0.055896,0.151771,0.001235,0.086209,0.009204,0.000243,0.003358,0.000187,0.005215,0.000093,0.002002,0.002830,0.010747,0.000452,0.000053,0.001785,0.000665,0.000016,0.002851,0.008402,0.002045,0.000385,0.000008,0.000193,0.000079,0.000052,0.000178,0.000012,0.000133,0.000021,0.000023,0.000001,0.000009,0.000001,0.000001,0.000002,0.000000,0.000001,0.000000,0.000000,0.000000,0.000001,0.000000,0.000018,0.000002
忠明,13-Jul-18,0.08,0.03,0.01,0.05,6.21,2.43,1.66,0.34,4.81,0.94,21,0.004584,0.155673,0.366374,0.050394,0.103711,0.087441,0.000699,0.003842,0.053239,0.014737,0.000190,0.004892,0.005622,0.057960,0.001216,0.000240,0.001984,0.000865,0.000046,0.007080,0.016904,0.002759,0.000993,0.000015,0.000660,0.000583,0.000113,0.000272,0.000021,0.000215,0.000068,0.000073,0.000003,0.000027,0.000005,0.000001,0.000004,0.000000,0.000001,0.000001,0.000002,0.000000,0.000001,0.000000,0.000059,0.000006
板橋,13-Jul-18,0.19,0.08,0.01,0.11,1.18,0.36,0.19,0.15,1.74,0.26,5,0.056079,0.027520,0.139325,0.001234,0.014861,0.009197,0.000074,0.000393,0.000187,0.001042,0.000041,0.000250,0.001407,0.001422,0.000248,0.000022,0.001644,0.000594,0.000010,0.000461,0.000830,0.000825,0.000064,0.000002,0.000049,0.000079,0.000006,0.000037,0.000001,0.000020,0.000022,0.000016,0.000001,0.000005,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000018,0.000000
花蓮,07-Jul-18,0.41,0.04,0.01,0.06,2.89,1.07,0.35,0.18,1.86,0.31,10,0.006452,0.017396,0.229122,0.001237,0.038779,0.060261,0.000213,0.000079,0.006654,0.000756,0.000088,0.005281,0.001968,0.001425,0.000086,0.000024,0.000020,0.000410,0.000058,0.000532,0.004682,0.000827,0.000200,0.000006,0.000108,0.000079,0.000015,0.000107,0.000004,0.000015,0.000019,0.000016,0.000001,0.000007,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000018,0.000001
小港,07-Jul-18,0.36,0.07,0.04,0.13,1.82,0.68,0.33,0.50,2.39,0.75,10,0.004606,0.174138,0.201641,0.030717,0.044416,0.030893,0.000360,0.001092,0.000628,0.018479,0.000030,0.000188,0.004288,0.069850,0.001088,0.000284,0.001087,0.000598,0.000061,0.013870,0.015438,0.007159,0.000463,0.000006,0.001441,0.000264,0.000151,0.000244,0.000039,0.000096,0.000122,0.000041,0.000001,0.000016,0.000002,0.000000,0.000005,0.000000,0.000001,0.000000,0.000000,0.000000,0.000001,0.000000,0.000060,0.000002
嘉義,07-Jul-18,0.16,0.04,0.01,0.06,1.33,0.59,0.28,0.09,1.65,0.20,7,0.004570,0.007386,0.153439,0.015556,0.027769,0.030649,0.000150,0.000691,0.000623,0.000655,0.000007,0.000187,0.000957,0.011790,0.000375,0.000031,0.000457,0.000482,0.000004,0.000665,0.016753,0.002751,0.000180,0.000003,0.000163,0.000262,0.000005,0.000074,0.000003,0.000020,0.000020,0.000018,0.000000,0.000007,0.000002,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000059,0.000000
斗六,07-Jul-18,0.08,0.03,0.01,0.09,1.47,0.49,0.29,0.09,1.89,0.22,8,0.041914,0.041298,0.204069,0.003299,0.074290,0.009077,0.000339,0.002041,0.007371,0.002987,0.000089,0.000803,0.001984,0.003431,0.000332,0.000024,0.000115,0.000382,0.000010,0.001503,0.001672,0.002160,0.000235,0.000006,0.000048,0.000078,0.000024,0.000156,0.000008,0.000089,0.000022,0.000026,0.000002,0.000011,0.000002,0.000000,0.000002,0.000000,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000018,0.000001
忠明,07-Jul-18,0.06,0.01,0.01,0.08,1.80,0.62,0.30,0.11,2.20,0.41,8,0.048718,0.044264,0.220562,0.029440,0.043579,0.030800,0.000312,0.003101,0.000626,0.003755,0.000007,0.000187,0.002308,0.023350,0.000663,0.000076,0.000763,0.000898,0.000027,0.002228,0.002121,0.002764,0.000587,0.000009,0.000164,0.000263,0.000030,0.000138,0.000009,0.000128,0.000037,0.000048,0.000002,0.000016,0.000002,0.000001,0.000003,0.000000,0.000002,0.000000,0.000001,0.000000,0.000001,0.000000,0.000059,0.000004
板橋,07-Jul-18,0.08,0.03,0.07,0.06,1.98,0.84,0.46,0.14,4.97,0.87,13,0.009371,0.058697,0.092014,0.001236,0.064386,0.009207,0.000436,0.001651,0.007208,0.003725,0.000090,0.004527,0.004926,0.006606,0.000622,0.000068,0.000750,0.001027,0.000013,0.001891,0.001597,0.001867,0.000187,0.000008,0.000049,0.000191,0.000057,0.000190,0.000009,0.000079,0.000066,0.000050,0.000002,0.000017,0.000001,0.000000,0.000004,0.000000,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000018,0.000001
花蓮,01-Jul-18,0.17,0.09,0.01,0.06,6.63,2.07,0.30,0.22,2.36,0.32,17,0.027750,0.014797,0.131124,0.001230,0.057543,0.009168,0.000226,0.000199,0.001779,0.000897,0.000060,0.002685,0.000913,0.001417,0.000092,0.000066,0.000173,0.000486,0.000030,0.001264,0.006135,0.000823,0.000731,0.000004,0.000112,0.000078,0.000018,0.000123,0.000007,0.000018,0.000015,0.000018,0.000001,0.000007,0.000001,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000018,0.000001
小港,01-Jul-18,0.30,0.13,0.01,0.09,1.98,0.64,0.27,0.20,1.57,0.70,8,0.037503,0.043896,0.134876,0.019096,0.028785,0.030874,0.000173,0.000782,0.000627,0.001637,0.000147,0.000188,0.000964,0.004773,0.000800,0.000026,0.000526,0.000234,0.000016,0.001313,0.001692,0.002771,0.000214,0.000022,0.000164,0.000264,0.000022,0.000091,0.000009,0.000028,0.000022,0.000019,0.000001,0.000007,0.000002,0.000001,0.000001,0.000000,0.000001,0.000000,0.000000,0.000000,0.000001,0.000000,0.000060,0.000000
嘉義,01-Jul-18,0.14,0.04,0.01,0.04,1.85,0.77,0.22,0.09,2.24,0.24,8,0.001375,0.013119,0.050290,0.001238,0.021422,0.009222,0.000188,0.000079,0.000570,0.000540,0.000053,0.000607,0.000288,0.001426,0.000115,0.000008,0.000020,0.000338,0.000001,0.000406,0.002036,0.000828,0.000097,0.000003,0.000049,0.000079,0.000006,0.000072,0.000003,0.000006,0.000008,0.000015,0.000001,0.000007,0.000001,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000018,0.000000
斗六,01-Jul-18,0.13,0.08,0.01,0.07,2.05,0.94,0.33,0.10,1.79,0.30,9,0.009400,0.018768,0.070715,0.001235,0.068220,0.009202,0.000320,0.000291,0.000187,0.000743,0.000042,0.000636,0.000830,0.001423,0.000077,0.000060,0.000206,0.000517,0.000004,0.001257,0.002408,0.000826,0.000295,0.000006,0.000049,0.000079,0.000012,0.000138,0.000004,0.000020,0.000018,0.000029,0.000002,0.000010,0.000002,0.000000,0.000002,0.000000,0.000001,0.000000,0.000001,0.000000,0.000000,0.000000,0.000018,0.000001
忠明,01-Jul-18,0.25,0.14,0.01,0.08,2.08,1.37,1.12,0.91,2.11,0.36,11,0.001367,0.010374,0.040536,0.001230,0.022998,0.009167,0.000234,0.000216,0.000186,0.000406,0.000032,0.000566,0.000739,0.001417,0.000120,0.000015,0.000020,0.000314,0.000001,0.000594,0.001915,0.000823,0.000136,0.000003,0.000049,0.000078,0.000010,0.000061,0.000002,0.000011,0.000009,0.000017,0.000001,0.000006,0.000001,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000018,0.000001
板橋,01-Jul-18,0.18,0.10,0.01,0.08,3.49,1.02,0.37,0.14,3.65,0.62,12,0.001368,0.007247,0.043626,0.001231,0.015183,0.009177,0.000219,0.000079,0.000187,0.000415,0.000028,0.000460,0.001206,0.001419,0.000187,0.000016,0.000088,0.000397,0.000013,0.000903,0.003873,0.002715,0.000094,0.000004,0.000102,0.000078,0.000030,0.000065,0.000006,0.000008,0.000008,0.000014,0.000001,0.000005,0.000001,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000018,0.000001
花蓮,25-Jun-18,0.13,0.01,0.01,0.03,3.99,1.14,0.13,0.04,1.61,0.41,10,0.001367,0.009883,0.094293,0.001231,0.020468,0.009170,0.000255,0.000079,0.000186,0.000384,0.000076,0.010620,0.000286,0.001418,0.000134,0.000014,0.000020,0.000361,0.000003,0.000421,0.005863,0.001718,0.000110,0.000002,0.000049,0.000078,0.000007,0.000058,0.000001,0.000003,0.000010,0.000008,0.000000,0.000004,0.000001,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000018,0.000000
小港,25-Jun-18,0.13,0.03,0.01,0.05,4.39,1.41,0.27,0.19,1.71,1.01,12,0.012004,0.036160,0.109385,0.001227,0.034318,0.042824,0.000307,0.000209,0.000186,0.002684,0.000091,0.006086,0.002248,0.007840,0.000464,0.000078,0.000347,0.000550,0.000014,0.008501,0.026866,0.000820,0.000285,0.000006,0.000113,0.000078,0.000049,0.000114,0.000005,0.000035,0.000042,0.000024,0.000002,0.000011,0.000002,0.000000,0.000002,0.000000,0.000001,0.000000,0.000001,0.000000,0.000000,0.000000,0.000018,0.000001
嘉義,25-Jun-18,0.07,0.03,0.01,0.03,3.74,1.20,0.13,0.05,1.86,0.15,11,0.001362,0.039535,0.050532,0.001226,0.037827,0.009137,0.000145,0.002573,0.000186,0.002362,0.000102,0.005471,0.001809,0.004404,0.000693,0.000457,0.000157,0.000404,0.000007,0.002360,0.003040,0.005707,0.000265,0.000002,0.000100,0.000078,0.000020,0.000076,0.000004,0.000085,0.000017,0.000021,0.000001,0.000007,0.000001,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000018,0.000001
斗六,25-Jun-18,0.08,0.06,0.01,0.04,3.86,1.39,0.51,0.09,3.02,0.53,12,0.001365,0.017051,0.027349,0.001229,0.026743,0.009157,0.000068,0.000319,0.000186,0.001550,0.000053,0.001741,0.000777,0.003858,0.000972,0.000016,0.000040,0.000346,0.000004,0.001899,0.003993,0.002712,0.000471,0.000001,0.000101,0.000078,0.000026,0.000055,0.000002,0.000021,0.000009,0.000009,0.000000,0.000003,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000018,0.000000
忠明,25-Jun-18,0.08,0.03,0.01,0.05,4.32,1.46,0.33,0.05,3.48,0.61,14,0.001371,0.036216,0.046795,0.001234,0.044712,0.009195,0.000129,0.000749,0.000187,0.004065,0.000065,0.002283,0.001760,0.010857,0.000822,0.000051,0.000262,0.000505,0.000008,0.002171,0.005540,0.000825,0.000467,0.000004,0.000111,0.000079,0.000031,0.000094,0.000004,0.000040,0.000023,0.000023,0.000001,0.000008,0.000001,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000018,0.000004
板橋,25-Jun-18,0.19,0.08,0.01,0.11,7.07,2.54,1.31,0.12,5.05,0.79,23,0.012511,0.047492,0.093117,0.001228,0.055727,0.009150,0.000374,0.001709,0.000186,0.004235,0.000081,0.002180,0.004082,0.011272,0.000818,0.000090,0.001002,0.000687,0.000021,0.003220,0.009675,0.000821,0.000365,0.000010,0.000238,0.000078,0.000070,0.000139,0.000009,0.000088,0.000040,0.000037,0.000002,0.000038,0.000001,0.000000,0.000003,0.000000,0.000004,0.000000,0.000001,0.000000,0.000001,0.000000,0.000018,0.000002
花蓮,19-Jun-18,0.36,0.05,0.03,0.09,0.62,0.30,0.37,0.39,1.75,0.26,7,0.004590,0.068735,0.313898,0.038691,0.036823,0.061790,0.000294,0.000579,0.009147,0.001895,0.000132,0.003315,0.000961,0.010553,0.000127,0.000050,0.000199,0.000290,0.000016,0.001648,0.001301,0.020252,0.000431,0.000003,0.000164,0.000263,0.000021,0.000091,0.000003,0.000027,0.000016,0.000026,0.000000,0.000009,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000059,0.000000
小港,19-Jun-18,0.49,0.05,0.05,0.11,1.34,0.57,0.21,0.78,1.32,1.03,9,0.004593,0.094090,0.292393,0.036338,0.018700,0.148015,0.000435,0.000958,0.000626,0.007797,0.000058,0.000560,0.002540,0.035118,0.001088,0.000286,0.000981,0.000683,0.000004,0.004401,0.021928,0.002765,0.000318,0.000003,0.000164,0.000263,0.000250,0.000085,0.000006,0.000076,0.000082,0.000033,0.000001,0.000013,0.000001,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000059,0.000001
嘉義,19-Jun-18,0.06,0.01,0.01,0.05,0.40,0.13,0.09,0.10,0.86,0.18,3,0.001372,0.002217,0.015843,0.001234,0.008481,0.009199,0.000013,0.000079,0.000187,0.000473,0.000034,0.005394,0.000287,0.001422,0.000213,0.000003,0.000020,0.000338,0.000001,0.000183,0.000358,0.002047,0.000032,0.000001,0.000049,0.000079,0.000007,0.000036,0.000001,0.000007,0.000004,0.000007,0.000000,0.000003,0.000001,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000018,0.000000
斗六,19-Jun-18,0.08,0.03,0.01,0.09,0.41,0.13,0.10,0.10,0.94,0.00,3,0.001363,0.006792,0.027053,0.001227,0.017094,0.009142,0.000042,0.000341,0.000186,0.000574,0.000026,0.001743,0.000285,0.001413,0.000131,0.000004,0.000020,0.000361,0.000001,0.000425,0.000362,0.000821,0.000034,0.000001,0.000049,0.000078,0.000008,0.000058,0.000002,0.000013,0.000005,0.000009,0.000001,0.000004,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000018,0.000000
忠明,19-Jun-18,0.06,0.01,0.01,0.08,0.45,0.18,0.14,0.11,1.01,0.30,4,0.006163,0.028318,0.026816,0.001227,0.018330,0.009145,0.000112,0.000739,0.006783,0.003567,0.000042,0.002152,0.001404,0.003642,0.000245,0.000034,0.000020,0.000317,0.000003,0.000981,0.000383,0.000821,0.000066,0.000007,0.000049,0.000078,0.000019,0.000069,0.000002,0.000033,0.000009,0.000017,0.000001,0.000007,0.000001,0.000000,0.000002,0.000000,0.000001,0.000000,0.000000,0.000000,0.000001,0.000000,0.000018,0.000001
板橋,19-Jun-18,0.08,0.03,0.07,0.06,0.96,0.27,0.17,0.11,2.89,0.73,7,0.040615,0.041323,0.042819,0.001230,0.027310,0.026291,0.000219,0.000785,0.000186,0.001992,0.000044,0.000056,0.002681,0.003761,0.000258,0.000046,0.000270,0.000561,0.000020,0.001975,0.000536,0.002201,0.000129,0.000012,0.000049,0.000189,0.000022,0.000120,0.000010,0.000050,0.000029,0.000039,0.000002,0.000015,0.000002,0.000000,0.000004,0.000000,0.000002,0.000000,0.000001,0.000000,0.000001,0.000000,0.000018,0.000002
花蓮,13-Jun-18,0.17,0.09,0.01,0.06,7.61,2.58,0.74,0.17,2.37,0.43,20,0.007920,0.031998,0.062267,0.001237,0.055342,0.029798,0.000150,0.000161,0.000187,0.002680,0.000048,0.002175,0.002755,0.004384,0.000310,0.000059,0.000166,0.000373,0.000042,0.002439,0.003698,0.006346,0.000299,0.000008,0.000217,0.000079,0.000075,0.000183,0.000016,0.000054,0.000014,0.000028,0.000002,0.000011,0.000001,0.000000,0.000002,0.000000,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000018,0.000003
小港,13-Jun-18,0.30,0.13,0.01,0.09,9.71,3.10,1.11,0.22,2.99,0.83,25,0.033756,0.059750,0.158882,0.001234,0.081836,0.051754,0.000518,0.000747,0.000187,0.005539,0.000120,0.003840,0.005031,0.010995,0.000797,0.000157,0.000558,0.000522,0.000040,0.005016,0.023666,0.004122,0.000733,0.000014,0.000313,0.000079,0.000106,0.000277,0.000022,0.000102,0.000060,0.000057,0.000004,0.000021,0.000003,0.000001,0.000006,0.000000,0.000002,0.000001,0.000002,0.000000,0.000001,0.000000,0.000018,0.000004
嘉義,13-Jun-18,0.22,0.21,0.01,0.07,8.98,3.21,1.61,0.23,4.43,0.67,27,0.049206,0.067138,0.149982,0.001231,0.162413,0.101797,0.000416,0.001639,0.000186,0.006205,0.000146,0.026757,0.003137,0.013444,0.000511,0.000182,0.000756,0.000650,0.000048,0.005722,0.008064,0.002587,0.000806,0.000015,0.000401,0.000187,0.000087,0.000387,0.000027,0.000136,0.000076,0.000061,0.000004,0.000024,0.000003,0.000001,0.000005,0.000000,0.000002,0.000000,0.000001,0.000000,0.000001,0.000000,0.000018,0.000005
斗六,13-Jun-18,0.22,0.25,0.01,0.07,8.81,3.15,1.70,0.26,5.75,1.04,28,0.021330,0.064716,0.131607,0.001232,0.178199,0.009181,0.000379,0.000804,0.000187,0.006229,0.000081,0.002206,0.002662,0.015389,0.000508,0.000140,0.000741,0.000657,0.000049,0.005782,0.006763,0.005638,0.000753,0.000011,0.000413,0.000078,0.000096,0.000434,0.000027,0.000099,0.000072,0.000050,0.000003,0.000019,0.000002,0.000000,0.000004,0.000000,0.000002,0.000000,0.000001,0.000000,0.000001,0.000000,0.000018,0.000005
忠明,13-Jun-18,0.25,0.14,0.01,0.08,8.48,2.91,1.23,0.19,5.15,0.99,26,0.049362,0.116929,0.174531,0.004585,0.143555,0.009207,0.000590,0.001600,0.000187,0.010593,0.000106,0.002218,0.004775,0.020760,0.000930,0.000171,0.001311,0.000776,0.000066,0.007001,0.006792,0.004641,0.000780,0.000022,0.000564,0.000215,0.000165,0.000444,0.000036,0.000175,0.000099,0.000082,0.000005,0.000032,0.000004,0.000001,0.000007,0.000001,0.000003,0.000001,0.000002,0.000000,0.000002,0.000000,0.000018,0.000009
板橋,13-Jun-18,0.18,0.10,0.01,0.08,8.44,2.75,0.62,0.17,3.23,0.65,23,0.021728,0.062846,0.087147,0.001238,0.089722,0.009226,0.000279,0.000794,0.000188,0.005775,0.000061,0.001322,0.004179,0.017601,0.000488,0.000144,0.000815,0.000752,0.000068,0.005354,0.003738,0.003528,0.000440,0.000010,0.000333,0.000079,0.000082,0.000337,0.000031,0.000100,0.000028,0.000047,0.000003,0.000018,0.000002,0.000001,0.000004,0.000000,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000018,0.000003
花蓮,07-Jun-18,0.16,0.07,0.13,0.34,1.64,0.41,0.19,0.08,0.83,0.13,5,0.004595,0.007427,0.075623,0.010691,0.013736,0.080455,0.000110,0.000264,0.000626,0.000150,0.000007,0.000188,0.000962,0.011976,0.000243,0.000019,0.000178,0.000194,0.000012,0.000205,0.002028,0.002766,0.000136,0.000003,0.000164,0.000263,0.000005,0.000036,0.000001,0.000009,0.000022,0.000028,0.000001,0.000010,0.000000,0.000000,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000059,0.000002
小港,07-Jun-18,0.34,0.11,0.03,0.08,6.77,2.28,1.46,0.14,3.32,0.68,20,0.156256,0.007418,0.145813,0.014852,0.023654,0.030780,0.000043,0.001753,0.000626,0.003748,0.000037,0.000187,0.000961,0.018248,0.000953,0.000049,0.000545,0.000282,0.000013,0.002877,0.020837,0.002763,0.000346,0.000008,0.000426,0.000263,0.000046,0.000100,0.000006,0.000089,0.000041,0.000040,0.000002,0.000015,0.000002,0.000000,0.000004,0.000000,0.000001,0.000000,0.000000,0.000000,0.000001,0.000000,0.000059,0.000003
嘉義,07-Jun-18,0.16,0.11,0.01,0.06,4.73,2.05,1.74,0.12,2.47,0.28,17,0.004585,0.021189,0.113470,0.011359,0.064862,0.030751,0.000142,0.001864,0.000625,0.002292,0.000007,0.000187,0.000960,0.011958,0.000232,0.000066,0.001149,0.000336,0.000013,0.002053,0.005872,0.002760,0.000388,0.000003,0.000368,0.000263,0.000033,0.000124,0.000007,0.000083,0.000023,0.000038,0.000002,0.000014,0.000003,0.000000,0.000004,0.000000,0.000001,0.000001,0.000000,0.000000,0.000001,0.000000,0.000059,0.000001
斗六,07-Jun-18,0.30,0.26,0.02,0.08,6.03,2.81,3.24,0.43,4.31,0.69,25,0.015524,0.033202,0.164794,0.010502,0.119680,0.030776,0.000108,0.002272,0.000626,0.003132,0.000007,0.005352,0.000961,0.019006,0.000292,0.000150,0.001155,0.000521,0.000028,0.004402,0.007083,0.002762,0.000552,0.000003,0.000507,0.000263,0.000038,0.000232,0.000012,0.000111,0.000022,0.000033,0.000001,0.000011,0.000001,0.000001,0.000003,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000059,0.000002
忠明,07-Jun-18,0.33,0.07,0.08,0.08,5.35,2.14,1.78,0.15,3.23,0.48,19,0.004585,0.033001,0.185409,0.026469,0.026852,0.082457,0.000043,0.001380,0.000625,0.004966,0.000007,0.000187,0.003370,0.023451,0.000627,0.000123,0.002127,0.000573,0.000027,0.002502,0.007647,0.002760,0.000406,0.000010,0.000526,0.000263,0.000217,0.000115,0.000008,0.000091,0.000076,0.000123,0.000001,0.000032,0.000002,0.000000,0.000005,0.000000,0.000000,0.000000,0.000001,0.000000,0.000001,0.000000,0.000059,0.000002
板橋,07-Jun-18,0.20,0.03,0.01,0.05,2.59,0.94,0.29,0.12,1.70,0.33,8,0.004608,0.026384,0.167485,0.018772,0.005843,0.063566,0.000043,0.001343,0.000628,0.004164,0.000007,0.000188,0.000965,0.030761,0.000204,0.000036,0.000649,0.000287,0.000014,0.000205,0.005054,0.002773,0.000135,0.000003,0.000164,0.000264,0.000005,0.000062,0.000003,0.000048,0.000032,0.000033,0.000001,0.000010,0.000001,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000060,0.000000
花蓮,01-Jun-18,0.52,0.11,0.11,0.25,2.65,0.98,0.83,0.50,1.27,0.13,10,0.010764,0.017446,0.226259,0.006184,0.019198,0.009237,0.000273,0.000079,0.000188,0.000760,0.000035,0.001869,0.000661,0.001428,0.000072,0.000015,0.000020,0.000336,0.000021,0.000740,0.002513,0.000829,0.000104,0.000010,0.000049,0.000079,0.000019,0.000090,0.000006,0.000019,0.000017,0.000025,0.000002,0.000012,0.000002,0.000000,0.000003,0.000000,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000018,0.000002
小港,01-Jun-18,0.25,0.13,0.01,0.09,5.74,2.22,1.85,0.32,3.90,2.20,22,0.011843,0.053326,0.126515,0.012326,0.061623,0.122424,0.000168,0.001323,0.000628,0.004729,0.000007,0.000188,0.002100,0.035725,0.001215,0.000145,0.001020,0.000930,0.000023,0.004629,0.010634,0.002775,0.000654,0.000006,0.000527,0.000264,0.000110,0.000174,0.000013,0.000079,0.000031,0.000035,0.000002,0.000013,0.000002,0.000000,0.000003,0.000000,0.000000,0.000000,0.000001,0.000000,0.000002,0.000000,0.000060,0.000003
嘉義,01-Jun-18,0.25,0.14,0.03,0.06,4.73,2.37,2.86,0.37,4.49,2.34,25,0.044019,0.116303,0.299835,0.040250,0.181195,0.159896,0.000534,0.015093,0.000625,0.007424,0.000007,0.000187,0.004547,0.061804,0.000546,0.000287,0.002875,0.001050,0.000069,0.006434,0.006016,0.002762,0.000889,0.000033,0.000818,0.000263,0.000082,0.000515,0.000037,0.000613,0.000070,0.000118,0.000009,0.000053,0.000009,0.000003,0.000009,0.000001,0.000006,0.000001,0.000004,0.000000,0.000004,0.000000,0.000059,0.000007
斗六,01-Jun-18,0.37,0.23,0.02,0.09,4.70,2.21,2.59,0.46,5.66,1.28,23,0.004605,0.022520,0.141817,0.014513,0.081985,0.065926,0.000043,0.000985,0.000628,0.003147,0.000007,0.003752,0.002097,0.039195,0.000507,0.000133,0.001342,0.000700,0.000033,0.003149,0.004688,0.002772,0.000522,0.000007,0.000596,0.000264,0.000085,0.000223,0.000016,0.000058,0.000034,0.000046,0.000003,0.000022,0.000002,0.000000,0.000005,0.000000,0.000001,0.000001,0.000001,0.000000,0.000001,0.000000,0.000060,0.000001
板橋,01-Jun-18,0.20,0.05,0.02,0.07,2.54,0.87,0.47,0.08,1.51,0.24,9,0.033203,0.048923,0.183668,0.005158,0.052206,0.009147,0.000355,0.000759,0.000186,0.005674,0.000044,0.000811,0.001605,0.019277,0.000190,0.000027,0.000020,0.000660,0.000017,0.001437,0.003076,0.000821,0.000160,0.000013,0.000049,0.000078,0.000023,0.000170,0.000010,0.000053,0.000037,0.000046,0.000003,0.000019,0.000002,0.000000,0.000004,0.000000,0.000002,0.000000,0.000001,0.000000,0.000001,0.000000,0.000018,0.000003
花蓮,26-May-18,0.18,0.03,0.02,0.09,2.77,0.98,0.08,0.10,1.69,0.34,9,0.005277,0.014336,0.173785,0.001239,0.031764,0.009232,0.000319,0.000206,0.000188,0.000713,0.000033,0.001467,0.000288,0.001427,0.000073,0.000017,0.000020,0.000330,0.000022,0.000697,0.003900,0.000829,0.000127,0.000008,0.000049,0.000079,0.000012,0.000095,0.000003,0.000017,0.000020,0.000031,0.000002,0.000011,0.000001,0.000000,0.000002,0.000000,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000018,0.000001
