Site,Date,Na_ion,K_ion,Mg_ion,Ca_ion,SO4_ion,NH4_ion,NO3_ion,Cl_ion,OC,EC,PM2.5_Mass_Concentration,Al,Fe,Na,Mg,K,Ca,Sr,Ba,Ti,Mn,Co,Ni,Cu,Zn,Mo,Cd,Sn,Sb,Tl,Pb,V,Cr,As,Y,Se,Zr,Ge,Rb,Cs,Ga,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,U
嘉義,14-Feb-19,0.24,0.22,0.03,0.06,4.31,4.52,8.21,0.91,6.83,0.44,31,0.048469,0.090965,0.306411,0.036026,0.264149,0.013478,0.000962,0.013803,0.006031,0.007297,0.000100,0.001776,0.008294,0.020768,0.000388,0.000267,0.002669,0.000848,0.000028,0.016147,0.002610,0.002422,0.000333,0.000021,0.000792,0.000298,0.000120,0.000494,0.000019,0.000383,0.000052,0.000075,0.000003,0.000027,0.000004,0.000002,0.000005,0.000000,0.000002,0.000001,0.000002,0.000000,0.000002,0.000000,0.000015,0.000004
斗六,14-Feb-19,0.26,0.19,0.02,0.10,4.62,3.10,7.17,0.81,7.37,1.13,29,0.059681,0.096036,0.270121,0.032198,0.222669,0.027734,0.000864,0.002650,0.007786,0.005919,0.000106,0.001985,0.008222,0.025148,0.000385,0.000207,0.003055,0.000899,0.000029,0.010038,0.003096,0.003819,0.000401,0.000022,0.001121,0.000328,0.000183,0.000384,0.000019,0.000126,0.000065,0.000070,0.000004,0.000028,0.000004,0.000001,0.000005,0.000000,0.000003,0.000001,0.000002,0.000000,0.000002,0.000000,0.000020,0.000005
忠明,14-Feb-19,0.22,0.14,0.04,0.16,5.01,2.53,4.38,0.39,4.10,0.60,23,0.044008,0.081418,0.243483,0.036744,0.189267,0.050661,0.001136,0.004659,0.005917,0.006706,0.000063,0.001269,0.010519,0.017295,0.000423,0.000211,0.003334,0.000692,0.000019,0.016929,0.002851,0.002774,0.000415,0.000021,0.000504,0.000541,0.000162,0.000242,0.000010,0.000170,0.000070,0.000055,0.000003,0.000020,0.000002,0.000001,0.000004,0.000000,0.000002,0.000000,0.000001,0.000000,0.000001,0.000000,0.000041,0.000003
板橋,14-Feb-19,0.22,0.15,0.18,0.04,2.97,1.22,1.20,0.33,3.46,0.61,13,0.056375,0.098055,0.256767,0.043748,0.180047,0.028914,0.001712,0.007580,0.005923,0.007880,0.000052,0.001289,0.015878,0.105964,0.000339,0.000061,0.000828,0.000317,0.000018,0.030567,0.003348,0.003710,0.000226,0.000007,0.000231,0.000234,0.000047,0.000196,0.000010,0.000246,0.000040,0.000070,0.000003,0.000023,0.000003,0.000001,0.000004,0.000000,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000004,0.000003
花蓮,08-Feb-19,0.32,0.28,0.06,0.07,2.28,0.83,0.64,0.37,2.32,0.11,11,0.021086,0.007498,0.261126,0.044836,0.214624,0.042830,0.005000,0.010551,0.000058,0.000535,0.000018,0.000125,0.004181,0.005039,0.000140,0.000025,0.000436,0.000172,0.000038,0.004228,0.002762,0.001187,0.000231,0.000003,0.000219,0.000083,0.000027,0.000156,0.000008,0.000288,0.000035,0.000033,0.000001,0.000009,0.000002,0.000001,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000001
小港,08-Feb-19,0.39,0.55,0.08,0.16,8.59,5.61,8.08,0.80,6.73,0.81,36,0.115034,0.082578,0.361692,0.078218,0.497145,0.078816,0.007899,0.018357,0.005660,0.004037,0.000132,0.002577,0.010872,0.014643,0.001519,0.000245,0.005232,0.000493,0.000033,0.019366,0.008330,0.003726,0.000550,0.000022,0.000905,0.000315,0.000082,0.000544,0.000031,0.000530,0.000098,0.000139,0.000005,0.000047,0.000007,0.000003,0.000009,0.000001,0.000004,0.000001,0.000003,0.000000,0.000003,0.000000,0.000011,0.000005
嘉義,08-Feb-19,0.37,0.51,0.08,0.11,6.21,3.24,7.38,0.85,5.33,0.58,32,0.082459,0.064412,0.444857,0.071555,0.558532,0.077535,0.006467,0.013974,0.005830,0.002966,0.000080,0.001563,0.013314,0.011366,0.000271,0.000211,0.002930,0.000539,0.000033,0.018795,0.007095,0.002140,0.000604,0.000016,0.000979,0.000320,0.000095,0.000519,0.000026,0.000414,0.000050,0.000064,0.000004,0.000026,0.000005,0.000002,0.000005,0.000001,0.000003,0.000001,0.000002,0.000000,0.000002,0.000000,0.000017,0.000005
斗六,08-Feb-19,0.37,0.46,0.07,0.13,5.63,2.82,5.67,0.67,4.22,0.68,27,0.075181,0.063690,0.376475,0.066029,0.441551,0.046687,0.006249,0.015332,0.004714,0.002703,0.000067,0.001248,0.008844,0.012181,0.000225,0.000179,0.002718,0.000464,0.000026,0.010985,0.006135,0.002048,0.000478,0.000016,0.001179,0.000294,0.000103,0.000424,0.000022,0.000443,0.000051,0.000090,0.000004,0.000032,0.000005,0.000002,0.000006,0.000000,0.000003,0.000001,0.000002,0.000000,0.000002,0.000000,0.000018,0.000004
忠明,08-Feb-19,0.38,0.33,0.07,0.14,4.70,2.15,2.84,0.79,3.87,0.27,19,0.056943,0.028042,0.318403,0.057565,0.292267,0.050511,0.004751,0.009847,0.002161,0.001259,0.000036,0.000633,0.010139,0.011887,0.000152,0.000160,0.003170,0.001671,0.000014,0.011707,0.004451,0.003917,0.000331,0.000011,0.000468,0.000308,0.000158,0.000238,0.000011,0.000294,0.000045,0.000035,0.000003,0.000016,0.000004,0.000002,0.000004,0.000000,0.000002,0.000000,0.000001,0.000000,0.000001,0.000000,0.000030,0.000003
板橋,08-Feb-19,0.34,0.19,0.04,0.08,1.65,0.62,0.42,0.45,2.14,0.02,9,0.054063,0.040876,0.340399,0.056526,0.192075,0.099348,0.004539,0.009355,0.001504,0.000998,0.000015,0.000849,0.007021,0.001394,0.000099,0.000037,0.000542,0.000120,0.000007,0.010241,0.001869,0.001066,0.000121,0.000006,0.000161,0.000149,0.000017,0.000124,0.000007,0.000269,0.000019,0.000031,0.000002,0.000014,0.000003,0.000002,0.000003,0.000000,0.000002,0.000000,0.000001,0.000000,0.000001,0.000000,0.000004,0.000002
花蓮,02-Feb-19,0.17,0.04,0.01,0.40,1.13,0.49,0.37,0.18,1.52,0.05,8,0.021013,0.016052,0.059859,0.011219,0.037735,0.047803,0.000677,0.001084,0.002176,0.000399,0.000015,0.000591,0.000704,0.001955,0.000058,0.000040,0.000176,0.000137,0.000003,0.001899,0.001058,0.003733,0.000288,0.000006,0.000164,0.000066,0.000012,0.000085,0.000005,0.000036,0.000016,0.000025,0.000002,0.000011,0.000002,0.000000,0.000002,0.000000,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000001,0.000001
小港,02-Feb-19,0.44,0.22,0.04,0.15,7.23,6.68,14.77,1.02,10.28,1.49,53,0.077011,0.158826,0.439115,0.047282,0.335060,0.105576,0.000932,0.003642,0.010603,0.010915,0.000207,0.003991,0.007449,0.037785,0.004339,0.000408,0.004209,0.002062,0.000062,0.011741,0.006814,0.008705,0.000830,0.000025,0.001704,0.000518,0.000173,0.000761,0.000058,0.000191,0.000079,0.000119,0.000007,0.000048,0.000006,0.000002,0.000010,0.000001,0.000005,0.000001,0.000004,0.000000,0.000002,0.000000,0.000016,0.000011
嘉義,02-Feb-19,0.38,0.36,0.04,0.12,8.68,6.82,12.32,2.38,10.05,1.42,53,0.068323,0.099783,0.372388,0.041240,0.426207,0.052436,0.001053,0.029587,0.006710,0.007421,0.000116,0.002363,0.004876,0.024570,0.000573,0.000666,0.002771,0.001764,0.000073,0.026707,0.003818,0.002998,0.001418,0.000022,0.001175,0.000403,0.000151,0.000842,0.000054,0.000891,0.000062,0.000104,0.000007,0.000042,0.000009,0.000004,0.000008,0.000001,0.000004,0.000001,0.000002,0.000000,0.000002,0.000000,0.000013,0.000010
斗六,02-Feb-19,0.32,0.35,0.03,0.15,9.04,6.58,13.41,2.40,10.75,1.94,55,0.136263,0.156521,0.479281,0.071189,0.538502,0.065216,0.001090,0.003498,0.010392,0.010350,0.000147,0.002925,0.007609,0.053318,0.000692,0.000607,0.003860,0.002317,0.000100,0.014030,0.004821,0.002855,0.003072,0.000029,0.001422,0.000494,0.000175,0.001103,0.000078,0.000243,0.000084,0.000140,0.000009,0.000056,0.000007,0.000002,0.000011,0.000001,0.000004,0.000001,0.000003,0.000000,0.000003,0.000000,0.000020,0.000016
