鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
北投區,房地(土地+建物),臺北市北投區中央北路一段121~150號,17.0,商,,,1080305,土地2建物1車位0,全,二層,透天厝,見其他登記事項,加強磚造,0601101,31.18,6,2,3,有,無,6000000,192431,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;一樓店舖,RPRNMLMLLHOFFEA87CA
士林區,房地(土地+建物),臺北市士林區中山北路七段14巷1~30號,25.27,商,,,1080304,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0681231,138.89,3,2,2,有,有,22000000,158399,,0.0,0,含增建或未登記建物。;,RPTNMLMLLHOFFEA08CA
士林區,房地(土地+建物),臺北市士林區中山北路七段190巷18弄1~30號,68.56,住,,,1080213,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0601215,158.2,4,2,2,有,無,16680000,105436,,0.0,0,含增建或未登記建物。;,RPOOMLMLLHOFFEA67CA
北投區,房地(土地+建物)+車位,臺北市北投區三合街一段82巷91~120號,27.21,住,,,1080211,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050804,160.78,2,2,2,有,有,28550000,197718,坡道機械,21.44,1000000,,RPPOMLMLLHOFFEA77CA
北投區,車位,臺北市北投區泉源路31~60號,3.61,住,,,1080201,土地0建物0車位2,一層,十九層,其他,見其他登記事項,鋼筋混凝土造,1050315,61.690000000000005,0,0,0,有,有,4000000,,坡道平面,61.64,4000000,,RPQOMLMLLHOFFEA87CA
北投區,房地(土地+建物),臺北市北投區泉源路31~60號,43.87,住,,,1080201,土地1建物1車位0,八層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050315,265.08,0,0,0,無,有,41800000,157688,,0.0,0,,SPQOMLMLLHOFFEA97CA
北投區,車位,臺北市北投區泉源路31~60號,5.42,住,,,1080212,土地0建物0車位3,一層,十九層,其他,見其他登記事項,鋼筋混凝土造,1050315,92.53,0,0,0,有,有,6000000,,坡道平面,92.43,6000000,,RPROMLMLLHOFFEA97CA
北投區,房地(土地+建物),臺北市北投區泉源路31~60號,46.79,住,,,1080212,土地1建物1車位0,四層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050315,282.82,2,2,2,有,有,50000000,176791,,0.0,0,,SPROMLMLLHOFFEA08CA
北投區,房地(土地+建物)+車位,臺北市北投區榮華一路1~30號,72.67,住,,,1080219,土地1建物1車位3,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0901212,448.89,4,2,4,有,有,60000000,133663,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLQLLHOFFEA18CA
北投區,房地(土地+建物),臺北市北投區知行路316巷22弄1~30號,21.73,住,,,1080213,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731127,84.04,2,2,1,有,無,7700000,91623,,0.0,0,含增建或未登記建物。;,RPVOMLQLLHOFFEA78CA
北投區,房地(土地+建物)+車位,臺北市北投區知行路214巷31~60號,60.26,住,,,1080219,土地1建物1車位2,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000919,352.43,4,2,3,有,有,47000000,148051,坡道平面,61.98,4000000,,RPRPMLRLLHOFFEA58CA
士林區,房地(土地+建物),臺北市士林區延平北路五段301~330號,63.49,商,,,1080123,土地2建物1車位0,三層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0761223,274.37,5,3,1,有,有,28000000,102052,,0.0,0,,RPSNMLKKMHOFFEA77CA
士林區,房地(土地+建物)+車位,臺北市士林區忠勇街40巷4弄1~30號,107.01,住,,,1080212,土地2建物1車位2,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930624,398.11,5,3,2,有,無,69500000,174575,坡道機械,0.0,0,,RPTNMLMKMHOFFEA08CA
士林區,房地(土地+建物)+車位,臺北市士林區福華路1~30號,18.12,住,,,1070625,土地1建物1車位1,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070709,154.97,3,2,2,有,有,30800000,244090,升降平面,37.8,2200000,本買賣為都市更新案件預售戶，地政士僅受託買賣案件申請登記，並未代理撰擬不動產買賣契約書，本成交資訊係由客戶自行提供屬實。,RPVQMLQKMHOFFEA98CA
士林區,房地(土地+建物)+車位,臺北市士林區福華路1~30號,17.63,住,,,1080119,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070709,151.73000000000002,3,2,2,有,有,30600000,246643,升降平面,37.8,2500000,權利人有二人。本買賣為都市更新案件預售戶，地政士僅受託買賣案件申請登記，並未代理撰擬不動產買賣契約書，本成交資訊係由客戶自行提供屬實。,RPXQMLQKMHOFFEA56CA
北投區,房地(土地+建物)+車位,臺北市北投區福美路181~210號,48.63,其他,,,1080221,土地1建物1車位1,十層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061116,189.64999999999998,4,2,2,有,有,10050000,52992,坡道平面,43.62,0,親友、員工或其他特殊關係間之交易。;,RPPOMLRKMHOFFEA28CA
大安區,房地(土地+建物),臺北市大安區臥龍街151巷61~90號,20.56,住,,,1080225,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710608,109.0,3,2,2,有,有,17500000,160550,,0.0,0,,RPSNMLOLLHOFFFA28CA
大安區,房地(土地+建物),臺北市大安區和平東路三段406巷1~30號,6.64,住,,,1080306,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0841220,34.24,1,0,1,有,有,5000000,146028,,0.0,0,,RPPNMLPLLHOFFFA08CA
大安區,房地(土地+建物),臺北市大安區光復南路661~690號,3.81,商,,,1080124,土地3建物1車位0,十二層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1060515,45.6,1,1,1,有,有,13580000,297807,,0.0,0,,RPXNMLLLLHOFFFA48CA
大安區,土地,金華段三小段421~450地號,0.05,其他,,,1080220,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4428,0,,0.0,0,親友、員工或其他特殊關係間之交易。;包含公共設施保留地之交易。;,RPWNMLRLLHOFFFA98CA
大安區,房地(土地+建物)+車位,臺北市大安區光復南路691~720號,10.05,商,,,1080313,土地2建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011120,113.76,2,2,1,有,有,31410000,270805,塔式車位,4.05,1700000,,RPUNMLTJMHOFFFA88CA
大安區,車位,臺北市大安區信義路二段198巷1~30號,1.8,商,,,1080129,土地0建物0車位3,,,其他,,,,108.37,0,0,0,有,有,10500000,,坡道平面,108.37,10500000,,RPROMLTJMHOFFFA68CA
大安區,房地(土地+建物),臺北市大安區信義路二段181~210號,26.5,商,,,1080129,土地2建物1車位0,十三層,二十層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1070305,366.14,0,0,0,無,有,177200000,483968,,0.0,0,,RPRNMLKKMHOFFFA77CA
大安區,房地(土地+建物),臺北市大安區羅斯福路三段331~360號,8.58,商,,,1080307,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,0770601,111.03999999999999,3,2,1,有,有,25000000,225144,,0.0,0,,RPSNMLKKMHOFFFA87CA
文山區,房地(土地+建物)+車位,臺北市文山區興隆路二段203巷121~150號,24.12,住,,,1080217,土地3建物1車位1,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030605,136.32,2,2,1,有,有,16880000,164053,坡道機械,41.96,1400000,含增建或未登記建物。,RPUNMLMKMHOFFAA87DA
萬華區,房地(土地+建物),臺北市萬華區內江街31~60號,3.02,商,,,1080227,土地3建物1車位0,九層,九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0700814,22.32,1,0,1,有,有,3080000,137993,,0.0,0,含增建或未登記建物。,RPROMLTLLHOFFBA48DA
萬華區,房地(土地+建物),臺北市萬華區貴陽街二段31~60號,9.46,商,,,1080225,土地1建物1車位0,十二層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061127,121.55,3,2,2,有,有,24000000,197450,,0.0,0,,RPXNMLSJMHOFFBA78DA
內湖區,房地(土地+建物),臺北市內湖區成功路四段214巷3弄1~30號,27.2,住,,,1080126,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740712,92.61,2,2,2,有,有,17100000,184645,,0.0,0,含增建或未登記建物。,RPVRMLLLLHOFFCA48DA
中山區,房地(土地+建物)+車位,臺北市中山區復興北路1~30號,25.51,商,,,1080119,土地2建物1車位3,六層,十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1000616,383.41999999999996,4,2,2,有,有,91600000,279629,坡道平面,86.24,8500000,總價含車位分拆土地交易價格8500萬；建物交易價格660萬。坡平車位一個，分拆土地交易價格325萬；建物交易價格25萬。坡機車位二個，分拆土地交易價格各230萬；建物交易價格各20萬。,RPUNMLMLLHOFFCA08DA
大同區,房地(土地+建物),臺北市大同區伊寧街31~60號,15.09,住,,,1080224,土地6建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,46.25,2,2,1,有,無,6210000,134270,,0.0,0,含增建或未登記建物。,RPQRMLPLLHOFFBA28DA
內湖區,房地(土地+建物),臺北市內湖區成功路四段30巷28弄1~30號,15.51,商,,,1080226,土地1建物1車位0,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840211,117.22999999999999,3,2,2,有,有,24460000,208650,,0.0,0,,RPVPMLPLLHOFFCA68DA
中山區,房地(土地+建物),臺北市中山區長安東路二段31~60號,22.57,商,,,1080219,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0731121,109.76,2,1,2,有,有,17000000,154883,,0.0,0,,RPVOMLQLLHOFFCA68DA
內湖區,房地(土地+建物),臺北市內湖區內湖路三段60巷12弄61~90號,18.2,住,,,1080129,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670913,45.88,2,1,1,有,無,6950000,151482,,0.0,0,含增建或未登記建物。,RPPQMLQLLHOFFCA28DA
中山區,房地(土地+建物),臺北市中山區雙城街46巷1~30號,6.07,商,,,1080219,土地1建物1車位0,五層,六層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0700915,33.57,1,0,1,有,有,4880000,145368,,0.0,0,含增建或未登記建物。,RPWQMLQLLHOFFCA98DA
內湖區,房地(土地+建物)+車位,臺北市內湖區舊宗路一段30巷1~30號,34.74,商,,,1080110,土地1建物1車位1,四層,十三層,辦公商業大樓,商業用,鋼筋混凝土造,0960622,171.51999999999998,3,2,2,有,有,28280000,191331,坡道平面,36.78,2500000,含增建或未登記建物。,RPQNMLKMLHOFFCA57DA
松山區,房地(土地+建物),臺北市松山區敦化北路244巷1~30號,25.81,住,,,1080109,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0690915,137.20000000000002,4,2,2,有,有,31330000,228353,,0.0,0,,RPPOMLQLLHOFFDA18DA
士林區,房地(土地+建物),臺北市士林區社中街271~300號,15.89,住,,,1080213,土地1建物1車位0,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980213,60.97,2,0,1,有,有,8500000,139413,,0.0,0,含增建或未登記建物。,RPWPMLPLLHOFFEA98DA
北投區,房地(土地+建物),臺北市北投區文化三路31~60號,31.71,住,,,1080122,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0741127,117.31,3,2,2,有,有,13500000,115080,,0.0,0,含增建或未登記建物。,RPVPMLQLLHOFFEA98DA
松山區,房地(土地+建物),臺北市松山區新中街8巷1~30號,33.5,住,,,1080111,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,99.73,3,2,1,有,無,12000000,120325,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLTKMHOFFDA38DA
士林區,車位,臺北市士林區承德路四段121~150號,4.58,工,,,1080214,土地0建物0車位1,地下三層,十二層,其他,停車空間,鋼筋混凝土造,0901123,56.75,0,0,0,有,有,2900000,,坡道平面,56.75,2900000,,RPPNMLPLLHOFFEA08DA
士林區,房地(土地+建物),臺北市士林區磺溪街21巷1~30號,44.33,住,,,1080108,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780213,125.78999999999999,3,2,2,有,無,22000000,174895,,0.0,0,含增建或未登記建物。,RPUPMLPLLHOFFEA78DA
士林區,房地(土地+建物),臺北市士林區福國路15巷1~30號,24.75,住,,,1080223,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0621228,74.64,3,2,1,有,無,13100000,175509,,0.0,0,含增建或未登記建物。,RPXPMLPLLHOFFEA09DA
北投區,房地(土地+建物),臺北市北投區富貴一路5巷1~30號,40.55,住,,,1071117,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691218,133.37,4,2,2,有,無,20400000,152958,,0.0,0,含增建或未登記建物。,RPOQMLPLLHOFFEA28DA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路六段405巷61~90號,37.45,住,,,1080201,土地3建物1車位1,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880805,183.57,3,2,2,有,有,31000000,168873,升降平面,0.0,2200000,含增建或未登記建物。權利人二人,RPSQMLPLLHOFFEA68DA
士林區,房地(土地+建物)+車位,臺北市士林區葫東街31~60號,36.5,住,,,1080224,土地2建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940513,196.09,4,2,2,有,有,25330000,148578,坡道平面,41.76,2400000,含增建或未登記建物。,RPTPMLQLLHOFFEA78DA
北投區,房地(土地+建物)+車位,臺北市北投區行義路10巷1~30號,14.52,住,,,1080303,土地1建物1車位1,六層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1060929,84.08,1,1,1,有,有,15500000,207207,升降機械,17.48,1700000,本華廈現暫由建設公司管理,RPQNMLRKMHOFFEA28CA
信義區,房地(土地+建物),臺北市信義區光復南路511~540號,5.46,商,,,1080129,土地1建物1車位0,八層,十三層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0891124,31.299999999999997,1,1,1,有,有,8280000,264537,,0.0,0,含增建或未登記建物。,RPXPMLPLLHOFFDA98DA
中山區,房地(土地+建物),臺北市中山區農安街125巷1~30號,26.75,住,,,1080113,土地2建物1車位0,三層，露台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0600805,76.3,3,2,1,有,無,10800000,141547,,0.0,0,含增建或未登記建物。,RPSQMLPLLHOFFCA48DA
大同區,房地(土地+建物)+車位,臺北市大同區通河西街一段1~30號,39.09,住,,,1071124,土地1建物1車位3,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980521,273.06,2,2,3,有,有,48880000,179008,塔式車位,0.0,4500000,含增建或未登記建物。,RPQSMLQLLHOFFBA48DA
大安區,房地(土地+建物)+車位,臺北市大安區忠孝東路四段146巷1~30號,56.53,住,,,1080115,土地1建物1車位2,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871117,461.20000000000005,10,2,4,有,有,116000000,251518,升降平面,0.0,6000000,含增建或未登記建物。,RPOPMLPLLHOFFFA28DA
大安區,房地(土地+建物),臺北市大安區敦化南路一段190巷1~30號,30.38,商,,,1080121,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0571015,136.51,4,2,2,有,無,36300000,265915,,0.0,0,含增建或未登記建物。,RPRNMLLJMHOFFFA87DA
中山區,房地(土地+建物),臺北市中山區雙城街43巷1~30號,11.26,商,,,1080104,土地1建物1車位0,三層,四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0640903,39.35,1,1,1,有,有,6500000,165184,,0.0,0,含增建或未登記建物。,RPPNMLPLLHOFFCA87DA
文山區,房地(土地+建物),臺北市文山區羅斯福路五段181~210號,20.2,商,,,1080220,土地1建物1車位0,三層，陽台,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,,75.74,1,1,1,有,無,10780000,142329,,0.0,0,,RPVNMLSJMHOFFAA48DA
大安區,房地(土地+建物),臺北市大安區忠孝東路四段223巷10弄1~30號,27.29,商,,,1080124,土地1建物1車位0,七層，陽台,七層,華廈(10層含以下有電梯),,鋼筋混凝土造,,146.39,3,2,2,有,有,45000000,307398,,0.0,0,含增建或未登記建物。;增建部分是1房1廳1衛。,RPROMLLJMHOFFFA87CA
大安區,房地(土地+建物),臺北市大安區大安路一段211~240號,28.11,住,,,1080131,土地1建物1車位0,七層，陽台,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,138.24,3,2,2,有,無,32660000,236256,,0.0,0,,RPOOMLMLLHOFFFA77CA
大安區,房地(土地+建物),臺北市大安區通化街38巷18弄1~30號,10.21,商,,,1080218,土地1建物1車位0,三層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0701229,58.06,1,1,1,有,有,12300000,211850,,0.0,0,,RPUNMLPLLHOFFFA58CA
士林區,房地(土地+建物)+車位,臺北市士林區士東路61~90號,34.85,住,,,1080126,土地1建物1車位2,十層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1070525,282.69000000000005,0,0,0,無,有,74070000,338821,坡道平面,81.64,5950000,,RPVNMLSKMHOFFEA88CA
北投區,房地(土地+建物)+車位,臺北市北投區中央北路三段220巷1~30號,115.09,住,,,1080117,土地2建物1車位3,四層，五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1000211,335.66999999999996,3,2,4,有,有,35000000,104269,坡道平面,80.94,0,含增建或未登記建物。;,RPQQMLQKMHOFFEA48CA
士林區,房地(土地+建物),臺北市士林區通河西街二段16巷1~30號,28.0,商,,,1080125,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,0601208,57.75,2,1,1,有,無,7520000,130216,,0.0,0,,RPRPMLKKMHOFFEA87CA
士林區,土地,天母段三小段301~330地號,0.71,其他,,,1080220,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,52367,0,,0.0,0,親友、員工或其他特殊關係間之交易。;包含公共設施保留地之交易。;成交價為總公告現值之25%,RPXOMLRLLHOFFEA09CA
北投區,房地(土地+建物)+車位,臺北市北投區聖景路91~120號,65.54,住,,,1080127,土地1建物1車位1,三層，四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0870829,160.39000000000001,4,2,2,有,有,12880000,80304,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSOMLTJMHOFFEA68CA
士林區,房地(土地+建物),臺北市士林區中山北路六段290巷1~30號,484.0,住,,,1080118,土地2建物1車位0,全,,透天厝,住家用,石造,0550706,198.8,0,0,0,無,無,241000000,1212274,,0.0,0,,RPSOMLNJMHOFFEA08CA
士林區,土地,陽明段一小段271~300地號,24.17,住,,,1080226,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3146667,130189,,0.0,0,本件係共有土地、土地有被占用、物的瑕疵由買方排除處理。是親友關係間之交易，土地增值稅、登記費、承辦費等雙方約定由買方負擔。,RPWNMLRLLHOFFEA88CA
士林區,土地,蘭雅段二小段31~60地號,0.53,其他,,,1080220,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,46174,0,,0.0,0,親友、員工或其他特殊關係間之交易。;包含公共設施保留地之交易。;成交價為總公共現值之25%,RPSOMLRLLHOFFEA58CA
信義區,車位,臺北市信義區信義路五段150巷451~480號,0.58,住,,,1080119,土地0建物0車位1,地下一層,十層,其他,停車空間,鋼筋混凝土造,0830715,34.4,0,0,0,有,有,1900000,,坡道平面,34.4,1900000,親友、員工或其他特殊關係間之交易。;單獨車位交易。;,RPQPMLTKMHOFFDA58CA
士林區,土地,永新段四小段331~360地號,11.8,住,,,1080308,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2141700,181500,,0.0,0,,RPUNMLQLLHOFFEA58CA
士林區,土地,永新段四小段331~360地號,2.95,住,,,1080308,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,535000,181356,,0.0,0,,RPVNMLQLLHOFFEA68CA
信義區,房地(土地+建物)+車位,臺北市信義區松信路50巷1~30號,63.1,住,,,1080212,土地1建物1車位3,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1021115,419.01,0,0,0,無,有,89800000,302545,坡道平面,138.06,4800000,,RPVOMLKKMHOFFDA08CA
士林區,土地,富安段三小段391~420地號,101.82,其他,,,1080305,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4920000,48321,,0.0,0,親友、員工或其他特殊關係間之交易。,RPSOMLQLLHOFFEA48CA
士林區,車位,臺北市士林區士東路200巷61~90號,0.34,住,,,1080314,土地0建物0車位1,一層,十一層,其他,見其他登記事項,鋼筋混凝土造,0910122,3.1300000000000003,0,0,0,有,有,1250000,,升降機械,3.13,1250000,,RPPNMLOLLHOFFEA87CA
士林區,土地,富安段三小段121~150地號,1153.88,其他,,,1080313,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,56892000,49305,,0.0,0,,RPSNMLPLLHOFFEA28CA
士林區,房地(土地+建物),臺北市士林區德行西路91~120號,28.4,住,,,1071211,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691023,113.26,3,2,2,有,無,18680000,164930,,0.0,0,含增建或未登記建物。;,RPWNMLPLLHOFFEA68CA
士林區,房地(土地+建物),臺北市士林區重慶北路四段49巷40弄1~30號,23.0,住,,,1080216,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610314,80.54,2,2,1,有,無,8500000,105538,,0.0,0,含增建或未登記建物。;,RPXNMLPLLHOFFEA78CA
士林區,房地(土地+建物),臺北市士林區忠誠路一段31~60號,18.02,住,,,1080105,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0740118,104.76,3,2,2,有,有,18880000,180221,,0.0,0,含增建或未登記建物。;,RPQOMLPLLHOFFEA18CA
北投區,房地(土地+建物),臺北市北投區建民路129巷1~30號,45.27,住,,,1080216,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780217,186.68,2,3,2,有,無,33800000,181058,,0.0,0,含增建或未登記建物。;,RPROMLPLLHOFFEA28CA
北投區,房地(土地+建物)+車位,臺北市北投區三合街一段117巷31~60號,33.2,住,,,1071128,土地1建物1車位1,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070502,204.07,2,2,2,有,有,39000000,222365,坡道平面,41.05,2750000,,RPTOMLPLLHOFFEA48CA
北投區,房地(土地+建物),臺北市北投區大度路三段301巷28弄1~30號,24.0,住,,,1080223,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760123,84.4,3,2,1,有,無,6950000,82346,,0.0,0,含增建或未登記建物。;,RPUOMLPLLHOFFEA58CA
南港區,車位,臺北市南港區興華路64巷1~30號,1.2,住,,,1080309,土地0建物0車位1,地下三層,十三層,其他,停車空間,鋼筋混凝土造,0971030,48.3,0,0,0,有,有,1680000,,坡道平面,48.3,1680000,,RPOOMLLKMHOFFDA47CA
南港區,房地(土地+建物),臺北市南港區向陽路120巷2弄1~30號,29.35,住,,,1080220,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700130,89.25,3,1,1,有,無,10000000,112045,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLQJMHOFFDA87CA
松山區,房地(土地+建物),臺北市松山區新東街12巷31~60號,52.33,住,,,1080127,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710416,129.11,4,2,2,有,無,19500000,151034,,0.0,0,,RPPNMLMJMHOFFDA47CA
南港區,房地(土地+建物),臺北市南港區福德街391~420號,22.2,住,,,1080312,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0870521,131.35,2,1,1,有,有,18200000,138561,,0.0,0,,RPXOMLQLLHOFFDA88CA
信義區,房地(土地+建物),臺北市信義區忠孝東路五段361~390號,5.63,商,,,1080115,土地3建物1車位0,十一層,十一層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0940531,40.06,1,1,1,有,有,14780000,368947,,0.0,0,含增建或未登記建物。;,RPPPMLMLLHOFFDA77CA
信義區,房地(土地+建物),臺北市信義區和平東路三段151~180號,9.1,商,,,1080216,土地2建物1車位0,四層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970205,45.55,0,0,0,無,有,9200000,201976,,0.0,0,增建夾層,RPQNMLOLLHOFFDA87CA
南港區,房地(土地+建物)+車位,臺北市南港區興華路91~120號,18.21,商,,,1080304,土地1建物1車位1,十一層,十八層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0860830,160.09,3,2,2,有,有,26500000,165532,塔式車位,0.0,0,含增建或未登記建物。;,RPUNMLPLLHOFFDA38CA
南港區,房地(土地+建物)+車位,臺北市南港區重陽路451~480號,29.48,住,,,1080128,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050411,219.39999999999998,3,2,3,有,有,35800000,163172,坡道平面,38.91,0,,RPWNMLPLLHOFFDA58CA
中山區,房地(土地+建物),臺北市中山區中山北路一段53巷1~30號,10.24,商,,,1070915,土地1建物1車位0,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0971030,59.78,1,1,1,有,有,12100000,202409,,0.0,0,,RPUQMLKKMHOFFCA08CA
內湖區,房地(土地+建物),臺北市內湖區安泰街1~30號,27.12,住,,,1080220,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750616,103.92,3,2,2,有,無,11200000,107775,,0.0,0,,RPXNMLRJMHOFFCA68CA
松山區,房地(土地+建物),臺北市松山區八德路三段158巷20弄31~60號,6.82,住,,,1080217,土地2建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0661019,33.29,0,0,0,無,有,6400000,192250,,0.0,0,,RPSNMLMLLHOFFDA87CA
信義區,房地(土地+建物),臺北市信義區虎林街60巷1~30號,44.0,住,,,1080220,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0611006,105.54,3,2,1,有,無,17500000,165814,,0.0,0,含增建或未登記建物。;,RPWOMLMLLHOFFDA38CA
