鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
大同區,房地(土地+建物)+車位,臺北市大同區雙連街61~90號,10.82,住,,,1061015,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060726,126.17,2,1,1,有,無,26800000,265692,坡道平面,35.84,2800000,,RPVRMLMJMHOFFBA28CA
大同區,房地(土地+建物)+車位,臺北市大同區雙連街61~90號,10.53,住,,,1061209,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060726,126.02,2,1,1,有,無,27480000,267051,坡道平面,35.85,3400000,,RPWRMLMJMHOFFBA38CA
大同區,房地(土地+建物)+車位,臺北市大同區雙連街61~90號,10.82,住,,,1061122,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060726,126.17,2,1,1,有,無,25770000,257611,坡道平面,35.84,2500000,,RPXRMLMJMHOFFBA48CA
大同區,房地(土地+建物)+車位,臺北市大同區雙連街61~90號,21.92,住,,,1061113,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060726,226.96,4,2,2,有,無,49500000,243303,坡道平面,35.84,3000000,,RPOSMLMJMHOFFBA67CA
大同區,房地(土地+建物)+車位,臺北市大同區雙連街61~90號,10.82,住,,,1061025,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060726,126.17,2,1,1,有,無,25000000,243551,坡道平面,35.84,3000000,,RPPSMLMJMHOFFBA77CA
大同區,房地(土地+建物)+車位,臺北市大同區雙連街61~90號,24.2,住,,,1061103,土地1建物1車位2,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060726,262.81,4,2,2,有,無,53780000,249987,坡道平面,71.68,6000000,,RPQSMLMJMHOFFBA87CA
大同區,房地(土地+建物)+車位,臺北市大同區雙連街61~90號,24.2,住,,,1070929,土地1建物1車位2,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060726,262.8,4,2,2,有,無,56980000,268836,坡道平面,71.68,5600000,,RPRSMLMJMHOFFBA97CA
大同區,房地(土地+建物)+車位,臺北市大同區雙連街61~90號,15.66,住,,,1061028,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060726,166.25,3,2,2,有,無,38260000,272678,坡道平面,35.84,2700000,,RPSSMLMJMHOFFBA08CA
大同區,房地(土地+建物)+車位,臺北市大同區雙連街61~90號,22.78,住,,,1070810,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060726,234.09,4,2,2,有,無,52680000,250593,坡道平面,35.84,3000000,,RPUSMLMJMHOFFBA28CA
大同區,房地(土地+建物)+車位,臺北市大同區雙連街61~90號,23.91,住,,,1070606,土地1建物1車位2,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060726,259.22,4,2,2,有,無,60000000,282621,坡道平面,71.69,7000000,,RPVSMLMJMHOFFBA38CA
大同區,房地(土地+建物)+車位,臺北市大同區雙連街61~90號,18.79,住,,,1061010,土地1建物1車位2,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060726,210.54000000000002,3,2,2,有,無,40000000,246309,坡道平面,71.69,5800000,,RPXSMLMJMHOFFBA58CA
大同區,房地(土地+建物)+車位,臺北市大同區雙連街61~90號,15.94,住,,,1061009,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060726,168.45999999999998,3,2,2,有,無,37500000,260142,坡道平面,35.84,3000000,,RPOTMLMJMHOFFBA77CA
大同區,房地(土地+建物)+車位,臺北市大同區雙連街61~90號,10.82,住,,,1061229,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060726,126.18,2,1,1,有,無,25000000,241337,坡道平面,35.85,3200000,,RPPTMLMJMHOFFBA87CA
萬華區,土地,龍山段二小段241~270地號,2.19,商,,,1080305,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,593607,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVNMLSJMHOFFBA48CA
內湖區,房地(土地+建物),臺北市內湖區東湖路113巷95弄61~90號,24.24,住,,,1080124,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730105,97.49,3,2,2,有,無,12000000,123090,,0.0,0,含增建或未登記建物。;,RPRQMLLLLHOFFCA87CA
